estimator,estimate,se,lower,upper,rep,truth
Naive comparison,0.0887559064162754,0.004649775410783672,0.0796425140030542,0.0978692988294966,0,0.06088195726098464
Outcome regression,0.04698934028482967,,,,0,0.06088195726098464
IPW,0.05085220005028748,0.006895609156978694,0.03733705434453889,0.06436734575603607,0,0.06088195726098464
AIPW,0.049052313086853504,0.006805606175686324,0.03571356998433063,0.062391056189376376,0,0.06088195726098464
TMLE,0.0490504402139782,0.006811205842883731,0.03570072196533643,0.06240015846261997,0,0.06088195726098464
Naive comparison,0.09730066185471099,0.004661005393708858,0.08816525907923581,0.10643606463018618,1,0.06088195726098464
Outcome regression,0.06172879848000875,,,,1,0.06088195726098464
IPW,0.06418938657721289,0.007758878452591884,0.04898226412975709,0.07939650902466869,1,0.06088195726098464
AIPW,0.06298948831157536,0.007678284009210896,0.047940328071746335,0.07803864855140438,1,0.06088195726098464
TMLE,0.06288566167590066,0.007713320576762405,0.04776783102498711,0.07800349232681422,1,0.06088195726098464
Naive comparison,0.10721907846693085,0.004672058195112348,0.09806201259860567,0.11637614433525603,2,0.06088195726098464
Outcome regression,0.06984028014518615,,,,2,0.06088195726098464
IPW,0.0765670696688055,0.006827727467880706,0.06318496962994816,0.08994916970766284,2,0.06088195726098464
AIPW,0.07467979258875401,0.0067663834075219215,0.06141792469981372,0.0879416604776943,2,0.06088195726098464
TMLE,0.07490779653912977,0.006759164117667188,0.061660078198410316,0.08815551487984923,2,0.06088195726098464
Naive comparison,0.09665802921306749,0.004654156359600457,0.08753605029787953,0.10578000812825544,3,0.06088195726098464
Outcome regression,0.04741827606133551,,,,3,0.06088195726098464
IPW,0.057759476633746795,0.006438150008861802,0.04514093438977798,0.07037801887771561,3,0.06088195726098464
AIPW,0.058070621157747186,0.006555713285694984,0.045221659123463306,0.07091958319203107,3,0.06088195726098464
TMLE,0.05706888215881451,0.006402388043403163,0.04452043207971387,0.06961733223791515,3,0.06088195726098464
Naive comparison,0.09573556939142272,0.004666174948315572,0.08659003447502234,0.1048811043078231,4,0.06088195726098464
Outcome regression,0.05393210979591742,,,,4,0.06088195726098464
IPW,0.057971481961977045,0.006728227856149561,0.04478439758012673,0.07115856634382736,4,0.06088195726098464
AIPW,0.05645646689223403,0.006631368215443413,0.04345922391922069,0.06945370986524736,4,0.06088195726098464
TMLE,0.05646604314687966,0.006633255991578652,0.0434651002006012,0.06946698609315813,4,0.06088195726098464
Naive comparison,0.095515681951371,0.004665972154554025,0.08637054450344267,0.10466081939929933,5,0.06088195726098464
